paper_id,venue,venue_type,year,track,title,authors,abstract,abstract_source_name,abstract_source_url,abstract_source_tier,abstract_fetched_at,doi,arxiv_id,paper_url,pdf_url,source_name,source_url,source_tier,verification_status,list_status,fetched_at
10.1016/j.artint.2022.103794,AIJ,journal,2023,volume 314,Learning MAX-SAT from contextual examples for combinatorial optimisation,Mohit Kumar; Samuel Kolb; Stefano Teso; Luc De Raedt,,,,,,10.1016/j.artint.2022.103794,,https://doi.org/10.1016/j.artint.2022.103794,,Crossref publisher-registered metadata (ISSN 0004-3702),https://www.sciencedirect.com/journal/artificial-intelligence,official_plus_secondary,crosschecked,final,2026-08-12T09:53:28+00:00
10.1016/j.artint.2022.103804,AIJ,journal,2023,volume 314,When move acceptance selection hyper-heuristics outperform Metropolis and elitist evolutionary algorithms and when not,Andrei Lissovoi; Pietro S. Oliveto; John Alasdair Warwicker,"Selection hyper-heuristics (HHs) are automated algorithm selection methodologies that choose between different heuristics during the optimisation process. Recently, selection HHs choosing between a collection of elitist randomised local search heuristics with different neighbourhood sizes have been shown to optimise standard unimodal benchmark functions from evolutionary computation in the optimal expected runtime achievable with the available low-level heuristics. In this paper, we extend our understanding of the performance of HHs to the domain of multimodal optimisation by considering a Move Acceptance HH (MAHH) from the literature that can switch between elitist and non-elitist heuristics during the run. In essence, MAHH is a non-elitist search heuristic that differs from other search heuristics in the source of non-elitism. We first identify the range of parameters that allow MAHH to hillclimb efficiently and prove that it can optimise the standard hillclimbing benchmark function OneMax in the best expected asymptotic time achievable by unbiased mutation-based randomised search heuristics. Afterwards, we use standard multimodal benchmark functions to highlight function characteristics where MAHH outperforms elitist evolutionary algorithms and the well-known Metropolis non-elitist algorithm by quickly escaping local optima, and ones where it does not. Since MAHH is essentially a non-elitist random local search heuristic, the paper is of independent interest to researchers in the fields of artificial intelligence and randomised search heuristics.",OpenAlex,https://openalex.org/W4301395697,third_party_crosschecked,2026-08-13T09:37:42+00:00,10.1016/j.artint.2022.103804,,https://doi.org/10.1016/j.artint.2022.103804,,Crossref publisher-registered metadata (ISSN 0004-3702),https://www.sciencedirect.com/journal/artificial-intelligence,official_plus_secondary,crosschecked,final,2026-08-12T09:53:28+00:00
10.1016/j.artint.2022.103805,AIJ,journal,2023,volume 314,Value functions for depth-limited solving in zero-sum imperfect-information games,Vojtěch Kovařík; Dominik Seitz; Viliam Lisý; Jan Rudolf; Shuo Sun; Karel Ha,,,,,,10.1016/j.artint.2022.103805,,https://doi.org/10.1016/j.artint.2022.103805,,Crossref publisher-registered metadata (ISSN 0004-3702),https://www.sciencedirect.com/journal/artificial-intelligence,official_plus_secondary,crosschecked,final,2026-08-12T09:53:28+00:00
10.1016/j.artint.2022.103806,AIJ,journal,2023,volume 314,Cooperative concurrent games,Julian Gutierrez; Szymon Kowara; Sarit Kraus; Thomas Steeples; Michael Wooldridge,"In rational verification , the aim is to verify which temporal logic properties will obtain in a multi-agent system, under the assumption that agents (“players”) in the system choose strategies for acting that form a game theoretic equilibrium. Preferences are typically defined by assuming that agents act in pursuit of individual goals, specified as temporal logic formulae. To date, rational verification has been studied using non-cooperative solution concepts—Nash equilibrium and refinements thereof. Such non-cooperative solution concepts assume that there is no possibility of agents forming binding agreements to cooperate, and as such they are restricted in their applicability. In this article, we extend rational verification to cooperative solution concepts, as studied in the field of cooperative game theory . We focus on the core , as this is the most fundamental (and most widely studied) cooperative solution concept. We begin by presenting a variant of the core that seems well-suited to the concurrent game setting, and we show that this version of the core can be characterised using ATL ⁎ . We then study the computational complexity of key decision problems associated with the core, which range from problems in PSpace to problems in 3ExpTime . We also investigate conditions that are sufficient to ensure that the core is non-empty, and explore when it is invariant under bisimilarity. We then introduce and study a number of variants of the main definition of the core, leading to the issue of credible deviations, and to stronger notions of collective stable behaviour. Finally, we study cooperative rational verification using an alternative model of preferences, in which players seek to maximise the mean-payoff they obtain over an infinite play in games where quantitative information is allowed.",OpenAlex,https://openalex.org/W2945040500,third_party_crosschecked,2026-08-13T09:37:42+00:00,10.1016/j.artint.2022.103806,,https://doi.org/10.1016/j.artint.2022.103806,,Crossref publisher-registered metadata (ISSN 0004-3702),https://www.sciencedirect.com/journal/artificial-intelligence,official_plus_secondary,crosschecked,final,2026-08-12T09:53:28+00:00
10.1016/j.artint.2022.103807,AIJ,journal,2023,volume 314,Simple and efficient bi-objective search algorithms via fast dominance checks,Carlos Hernández; William Yeoh; Jorge A. Baier; Han Zhang; Luis Suazo; Sven Koenig; Oren Salzman,,,,,,10.1016/j.artint.2022.103807,,https://doi.org/10.1016/j.artint.2022.103807,,Crossref publisher-registered metadata (ISSN 0004-3702),https://www.sciencedirect.com/journal/artificial-intelligence,official_plus_secondary,crosschecked,final,2026-08-12T09:53:28+00:00
10.1016/j.artint.2022.103808,AIJ,journal,2023,volume 314,"Answering regular path queries mediated by unrestricted <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" altimg=""si1.svg""><mml:mi mathvariant=""script"">SQ</mml:mi></mml:math> ontologies",Víctor Gutiérrez-Basulto; Yazmín Ibáñez-García; Jean Christoph Jung; Filip Murlak,"A prime application of description logics is ontology-mediated query answering, with the query language often reaching far beyond instance queries. Here, we investigate this task for positive existential two-way regular path queries and ontologies formulated in the expressive description logic SQu, where SQu denotes the extension of the basic description logic ALC with transitive roles (S) and qualified number restrictions (Q) which can be unrestrictedly applied to both non-transitive and transitive roles (⋅u). Notably, the latter is usually forbidden in expressive description logics. As the main contribution, we show decidability of ontology-mediated query answering in that setting and establish tight complexity bounds, namely 2ExpTime-completeness in combined complexity and coNP-completeness in data complexity. Since the lower bounds are inherited from the fragment ALC, we concentrate on providing upper bounds. As main technical tools we establish a tree-like countermodel property and a characterization of when a query is not satisfied in a tree-like interpretation. Together, these results allow us to use an automata-based approach to query answering.",OpenAlex,https://openalex.org/W4307046931,third_party_crosschecked,2026-08-13T09:37:42+00:00,10.1016/j.artint.2022.103808,,https://doi.org/10.1016/j.artint.2022.103808,,Crossref publisher-registered metadata (ISSN 0004-3702),https://www.sciencedirect.com/journal/artificial-intelligence,official_plus_secondary,crosschecked,final,2026-08-12T09:53:28+00:00
10.1016/j.artint.2022.103809,AIJ,journal,2023,volume 314,Portioning using ordinal preferences: Fairness and efficiency,Stéphane Airiau; Haris Aziz; Ioannis Caragiannis; Justin Kruger; Jérôme Lang; Dominik Peters,"A divisible public resource is to be divided among projects. We study rules that decide on a distribution of the budget when voters have ordinal preference rankings over projects. Examples of such portioning problems are participatory budgeting, time shares, and parliament elections. We introduce a family of rules for portioning, inspired by positional scoring rules. Rules in this family are given by a scoring vector (such as plurality or Borda) associating a positive value with each rank in a vote, and an aggregation function such as leximin or the Nash product. Our family contains well-studied rules, but most are new. We discuss computational and normative properties of our rules. We focus on fairness, and introduce the SD-core, a group fairness notion. Our Nash rules are in the SD-core, and the leximin rules satisfy individual fairness properties. Both are Pareto-efficient.",OpenAlex,https://openalex.org/W4307400809,third_party_crosschecked,2026-08-13T09:37:42+00:00,10.1016/j.artint.2022.103809,,https://doi.org/10.1016/j.artint.2022.103809,,Crossref publisher-registered metadata (ISSN 0004-3702),https://www.sciencedirect.com/journal/artificial-intelligence,official_plus_secondary,crosschecked,final,2026-08-12T09:53:28+00:00
10.1016/j.artint.2022.103810,AIJ,journal,2023,volume 314,Solving Projected Model Counting by Utilizing Treewidth and its Limits,Johannes K. Fichte; Markus Hecher; Michael Morak; Patrick Thier; Stefan Woltran,,,,,,10.1016/j.artint.2022.103810,,https://doi.org/10.1016/j.artint.2022.103810,,Crossref publisher-registered metadata (ISSN 0004-3702),https://www.sciencedirect.com/journal/artificial-intelligence,official_plus_secondary,crosschecked,final,2026-08-12T09:53:28+00:00
10.1016/j.artint.2022.103811,AIJ,journal,2023,volume 314,Sim-to-Lab-to-Real: Safe reinforcement learning with shielding and generalization guarantees,Kai-Chieh Hsu; Allen Z. Ren; Duy P. Nguyen; Anirudha Majumdar; Jaime F. Fisac,,,,,,10.1016/j.artint.2022.103811,,https://doi.org/10.1016/j.artint.2022.103811,,Crossref publisher-registered metadata (ISSN 0004-3702),https://www.sciencedirect.com/journal/artificial-intelligence,official_plus_secondary,crosschecked,final,2026-08-12T09:53:28+00:00
10.1016/j.artint.2022.103812,AIJ,journal,2023,volume 314,Risk bounded nonlinear robot motion planning with integrated perception &amp; control,Venkatraman Renganathan; Sleiman Safaoui; Aadi Kothari; Benjamin Gravell; Iman Shames; Tyler Summers,"Robust autonomy stacks require tight integration of perception, motion planning, and control layers, but these layers often inadequately incorporate inherent perception and prediction uncertainties, either ignoring them altogether or making questionable assumptions of Gaussianity. Robots with nonlinear dynamics and complex sensing modalities operating in an uncertain environment demand more careful consideration of how uncertainties propagate across stack layers. We propose a framework to integrate perception, motion planning, and control by explicitly incorporating perception and prediction uncertainties into planning so that risks of constraint violation can be mitigated. Specifically, we use a nonlinear model predictive control based steering law coupled with a decorrelation scheme based Unscented Kalman Filter for state and environment estimation to propagate the robot state and environment uncertainties. Subsequently, we use distributionally robust risk constraints to limit the risk in the presence of these uncertainties. Finally, we present a layered autonomy stack consisting of a nonlinear steering-based distributionally robust motion planning module and a reference trajectory tracking module. Our numerical experiments with nonlinear robot models and an urban driving simulator show the effectiveness of our proposed approaches.",OpenAlex,https://openalex.org/W4307483136,third_party_crosschecked,2026-08-13T09:37:42+00:00,10.1016/j.artint.2022.103812,,https://doi.org/10.1016/j.artint.2022.103812,,Crossref publisher-registered metadata (ISSN 0004-3702),https://www.sciencedirect.com/journal/artificial-intelligence,official_plus_secondary,crosschecked,final,2026-08-12T09:53:28+00:00
